"Samuel, Beiler"
"Joe, Byler"
"Abner, Stoltzfus"
"Michael, Miller"
"Joal, Schwartz"
"Jonas, Miller"
"Alvin, Mast"
"Edward, Martin"
"Warren, Nolt"
"Mervin, Petersheim"
"Christ, Peachey"
"Ben, Hostetler"
Schlabach
"Ephraim, Esch"
"L., Zimmerman"
"Joe, Yoder"
"Melvin, Petersheim"
King
"Raymond, Shirk"
"Jacob, King"
"Leroy, Nolt"
"Eli, Byler"
"A, Byler"
"Mark, Stoltzfus"
"John, Allgyer"
"Benuel, Smucker"
"Reuben, Lapp"
"Emanuel, Kauffman"
Oberholtzer
"Mervin, Yoder"
"Paul, Hershberger"
"Eph, Lantz"
"Jr., Stoltzfus"
CLEARFIELD
"Lee, Stoltzfus"
"Jeffrey, Stauffer"
"Dan, Stoltzfus"
"Gideon, Stoltfus"
"Merv, Lapp"
"Stephen, Fisher"
"Paul, Byler"
"John, Glick"
Kauffman
"Marvin, Troyer"
"Omer, Stoltzfus"
"Ephraim, King"
"Amos, Zook"
"Donnie, Stoltzfus"
"Stephen, Esh"
"Ben, Lapp"
"Melvin, Stoltzfus"
"Moses, Zimmerman"
Esch
"Christ, King"
"Eli, Glick"
Brubacher
"John, Beiler"
"Elmer, Glick"
"Randall, Horning"
"J., Eicher"
"Jr, Glick"
"Henry, Esh"
"Aaron, Glick"
"Benjamin, Stoltzfus"
"Eddie, Sommers"
Kuhns
"Jonas, King"
"Ivan, King"
"Paul, Nolt"
"Wilmer, Nolt"
"Noah, Hostetler"
"Amos, Hostetler"
Hochstettler
"Harvey, Kinsinger"
Peight
"David, Petersheim"
"Noah, Wengerd"
Jr
"Samuel, Stoltzfus"
"Abram, Fisher"
"Harvey, Coblentz"
"Sam, Miller"
"John, Fisher"
"Ben, Byler"
"John, Zook"
Allgyer
"David, King"
"Glenn, Zimmerman"
"Levi, Stoltzfus"
"Dan, Troyer"
Emma
"Amos, Stoltzfus"
Ebersol
"Bennie, Zook"
"Christian, Stoltzfus"
"John, Miller"
"Ray, Stauffer"
"Jonas, Stauffer"
Stauffer
"Ben, Troyer"
"Bill, Miller"
Smoker
"Mose, King"
"Jacob, Yoder"
"Christ, Stoltzfoos"
"Mike, Fisher"
"Emanuel, Zook"
"L, Hostetler"
"Robert, Miller"
"Eli, Esh"
"Jonas, Beiler"
"Ben, King"
"Sam, King"
"Eli, Shetler"
"Amos, Sauder"
"Amos, King"
"Melvin, Byler"
Lee's
"Robert, Byler"
"Aaron, Stoltzfus"
"Ben, Stoltzfus"
VALLEY
"Phares, King"
"Aaron, Smucker"
"Jacob, Smucker"
"Christ, Byler"
"William, Mast"
"Melvin, Troyer"
Renno
Kenno
"Rudy, Troyer"
"Alvin, Hertzler"
"Crist, Schlabach"
"Moses, Hostetler"
"Jr, King"
"P, Yoder"
"Moses, Yoder"
"Amos, Kilmer"
"Luke, Zimmerman"
"Dan, Miller"
"Sammie, Stoltzfus"
"John, Kurtz"
"Aaron, Fisher"
"Dwight, Beery"
Burkholder
"Benuel, Beiler"
"Dan, Burkholder"
"Christie, Schwartz"
"Eli, Herschberger"
"Andy, Stutzman"
"Sam, Chupp"
"Paul, Lapp"
"Joseph, Peachey"
"Urie, Byler"
"Mose, Hershberger"
"Moses, Stoltzfus"
Lizzie
"Henry, Borntrager"
"Stephen, Zook"
"Aaron, Beiler"
"James, Zimmerman"
"C., Hershberger"
"Mark, Miller"
"R, Shoppe"
Hoover
"Christian, Borntreger"
"Samuel, Borntreger"
"Ephraim, Miller"
"Allen, Brenneman"
"Alvin, Stutzman"
Kempf
Sensenig
"David, Sensenig"
Brennemans
"Jacob, Fisher"
"Paul, Burkholder"
Kauffman’s
"Jacob, Schrock"
"W., Yoder"
Leid
"Ralph, Zimmerman"
